Reason,PHate,Site,PostID,Title,Content,Comments,GalleryID,PostURL,Source,Keyword,Comment
Title Hate,0.8825944955048779,DCINSIDE,2662531,아이폰15 일반 중고로 사고 싶은데,보통 당근으로 사나? 중고로는 첨사봐서,ㅇㅇ 당근이 맘편함 전자기기는 택배거래 절대하지마라 ||| 이심 사용여부 체크하고 사야됨,iphone,https://gall.dcinside.com/board/view/?id=iphone&no=2662531&s_type=search_subject_memo&s_keyword=아이폰&page=1,dc,아이폰,
Comment Hate,0.8757831584839804,,2662519,,,,,,,,고가물건에 자아의탁하는 영퐁티들이라 그럼
Content Hate,0.9221351285315693,DCINSIDE,2662518,에어를 수요일날부터 꺼두다가 켰더니,배터리가 35% 남아있었음 특이한 건 배터리 내역에 사용한 앱 기록도 비어있고 사용시간도 기록되지 않았다는 거임 갤럭시 S23 울트라 위에다 올려놓고 있었던 건데 (갤럭시도 마찬가지로 전원 꺼놓고 그냥 방치하던 거임) 혹시 둘 간에 배터리 무선공유라도 이뤄졌나 싶었지만 S23 울트라가 아이폰 에어 때문에 충전이 빵빵하게 되어있었다던가 하는 것도 없었음 그냥 내가 수요일날에 많이 썼다가 껐던 것을 기억못하고 있는 거면 다행인데,토‶토¸„사•이•트▿‸충▿전¸⫶계◃좌`“삽¨니‸다·°1․0“만▫원_•지_급·′문º의;⫶주◃세’요º◃ ㅌᅦᄅᄅㅔℚ큐Κ ⑥5,iphone,https://gall.dcinside.com/board/view/?id=iphone&no=2662518&s_type=search_subject_memo&s_keyword=아이폰&page=1,dc,아이폰,
Content Hate,0.8677492054692185,DCINSIDE,2662481,갤럭시 유저들은아이폰에 열폭하진 않음,그냥 관심이없음 ㅋㅋ 아이폰쓰는 앱등이들만 피해의식에 갤럭시 억까 ㅋㅋ,"※ 념글주작하는 엽충이가 판매량 점유율에 꽤나 집착하는지 이런것도 념글주작함 “갤럭시 미국 2분기 판매량 급상승 ㄷㄷㄷ”(8.17 글) “갤럭시 미국 점유율 개떡상.jpg“(7.29 글) ※ 근데 이건 념글주작 안함 : ""2025년 스마트폰 판매량 1위 예상(카운터포인트리서치)"" (11.26 글) ”글로벌 스마트폰 판매량 역사“ (11.27 글) ||| ㅇㅇ 관심없음..",iphone,https://gall.dcinside.com/board/view/?id=iphone&no=2662481&s_type=search_subject_memo&s_keyword=아이폰&page=1,dc,아이폰,
Content Hate,0.9326062866804886,DCINSIDE,2662451,이젠 갤럭시가아이폰이기는 시대…,아이폰 계속 쓰는건 지능이 낮다는 거임,씨발 천지인충,iphone,https://gall.dcinside.com/board/view/?id=iphone&no=2662451&s_type=search_subject_memo&s_keyword=아이폰&page=1,dc,아이폰,
Title Hate,0.8967425616282074,DCINSIDE,2662441,마이그레이션 해본사람,담달에 17살까하고있는데 아이폰에서 아이폰은 처음 옮겨보게될거같은데 아이폰은 그대로 옮겨주는 기능잇자나 마이그레이션 이거 어느정도 까지 옮겨줌? 완전 그대로 바로 똑같이 쓸수잇나 뭔 찾아봐도 안나오냐 ㅠ,로그인 설정 사진 음악등 안에 들어있는 파일 앱정보 배경화면 내가 커스텀한 사운드 밝기 와이파이 설정 등 싹다 옮겨짐 뱅킹 인증서도 옮겨지는데 생체로그인 등록같은건 새로 해야함 ||| 거의다네 대충들엇던게 맞는갑네 ㄱㅅㄱㅅ - dc App,iphone,https://gall.dcinside.com/board/view/?id=iphone&no=2662441&s_type=search_subject_memo&s_keyword=아이폰&page=1,dc,아이폰,
Content Hate,0.8545832573126338,DCINSIDE,2662412,아이폰과 갤럭시 사용자 분석 통계.jpg,세 줄 요약 income : 소득 높을수록 아이폰 사용 비율 높음 education : 고학력일수록 아이폰 사용 비율 높음 security : 안드로이드 유저들은 개인정보 유출을 우려함,,iphone,https://gall.dcinside.com/board/view/?id=iphone&no=2662412&s_type=search_subject_memo&s_keyword=아이폰&page=2,dc,아이폰,
Title Hate,0.855294981419004,DCINSIDE,2662410,확실히 부자들은 갤럭시 거들떠도 안보네,"같은 가격이면 갤럭시 눈길도 안주고 아이폰 사고, 저소득 저학력 하층민들만 갤럭시 구매해서 평균 판매가격이 37만원밖에 안하네 플래그십 암만 찍어내도 한국인들만 사주니 당연한 결과지만",,iphone,https://gall.dcinside.com/board/view/?id=iphone&no=2662410&s_type=search_subject_memo&s_keyword=아이폰&page=2,dc,아이폰,
Comment Hate,0.9026592180845753,,2662404,,,,,,,,그럼 저건머임 수리지원같은거아닌건가 - dc App
Comment Hate,0.8715135740396706,,2662395,,,,,,,,그거 손쉬운 사용에서 투명도 줄이기 키면 됨 - dc App
