Reason,PHate,PostID,Comment,Site,Title,Content,Comments,GalleryID,PostURL,Source,Keyword
Comment Hate,0.9328858814587015,154622520,모르겠어... 환불 때린 애랑 지금 쓰는 얘 밖에 써본적이 없어서. 좀 밑에 글 중에 k11 샀다는 애도 ka13 노이즈 문제 있었다는 거 보면 고질병인가...,,,,,,,,
Content Hate,0.8960735300170907,154322573,,ARCALIVE,헤뉴비 도와주세요....,이어폰 럭키박스 때문에 이쪽으로 관심이 생겨서 입문해보려고 하는데 좀 찾아보니 mv1아님 hd660s2 둘중 하나로 갈거 같은데 만약 둘중 하나로 가면 따로 필요한게 있을까요? 덱앰은 ka13 아님 ka17중 살거같긴 합니다!,딱히 더 살거없을듯 소니저건 원래 구동쉽고 육스투는 4.4케이블도 기본으로 제공하니까 저거 두개중 암거나 물려도 구동 충분해서 ||| 육스투는 취향좀을 좀 타서 왠만하면 청음하고사는걸 추천함 ||| 토요일에 대구 청음샵 가볼예정 ||| 그럼 들어보고 정하는거추천  둘다 인기많고 좋은제품임  취향이젤중요한거니까,헤드폰,https://arca.live/b/breaking/154322573?target=all&keyword=HD660S&p=1,arca,HD660S
Content Hate,0.8955102127515322,1688520,,DCINSIDE,쌤들 모니터링 헤드폰 추천부탁드림니다...,"추천양식 1. 내가 이어폰, 헤드폰에 원하는 것 - 씹덕음악이나 EDM 작곡에 사용할 모니터링 헤드폰 2. 오픈형인지 밀폐형인지 결정 - 무관 3. 사용할 장소 및 사용목적 설명 - 사용할 장소 : 자택 - 사용 목적 : 작곡 4. 내가 지불할 수 있는 가격대 - 헤드",륙륙스 있었으면 으음 믐백이랑 hi-x65 정도? ||| 근데 x65는 헤드밴드 결함있고 믐백은 살거면 신품사는게 조와 ||| 근데 더 나은지는 모르겠고 알칠공싸 << 얘가 좀 괜찮음 ||| 믐백,헤드폰,https://gall.dcinside.com/mgallery/board/view/?id=newheadphone&no=1688520,dc,HD660S
Comment Hate,0.8896741545692916,152923022,"헤드폰같은 음향 장비는 디지털 기기처럼 저전력 최적화가 되는게 아니라 정직하게 전기를 먹음 예를 들어 아이폰 쓰면 물리적인 배터리 용량은 크지 않더라도 그냥 인터넷 쓰면 적당히 오래 쓰잖음 근데 폰 스피커로 음악 크게 틀어놓으면 배터리 광탈함  좋은 헤드폰의 진동판은 무거울 수 밖에 없고 이걸 정확하게 움직이려면 높은 출력이 필요한 거임  Q. 근데 볼륨은 포터블 덱앰프로도 똑같이 커지지 않음?  볼륨은 진동판이 움직이는 거리랑 관련이 있음 그니까 진폭이 커져서 진동판이 크게크게 움직이면 볼륨이 커짐 여기서 포터블 앰프나 거치형 앰프나 똑같은 진폭으로 움직인다고 할 때, 진동판이 느리게 떨리고(저음) 빠르게 떨리는(고음) 반응이 계속 일어나는데 이 때 진동판을 움직이게 만드는 힘의 차이는 같은 진폭에서도 분명히 존재함 얼마나 정확하게 움직이도록 만드냐가 해상도로 이어지는 거임",,,,,,,,
Comment Hate,0.9283229472328915,152923022,사용하는 해드폰이 저감도이거나 저임피던스인 해드폰에선 일부 포터블 앰프는 저음 자체 소리가 깨지거나 덕덕덕 하는 끊어지는 소리가 남. 요즘 해드폰은 고감도에 적당한 임피던스라 훈련된 청취자가 아니면 차이를 크게 느끼기 힘들수 있음,,,,,,,,
Content Hate,0.9526869934391128,152716335,,ARCALIVE,DT900 PRO X VS HD660S2 음감용으로 뭐가 더 좋은가요??,앰프는 K7직구로 구매해 놓은 상태이며 현재까지는 무선인 배티스 사용하다가 착용감이 불만이고 귀가 간지러운 현상이 가끔 생겨서 다른거 찾아보다보니... 유선 오픈형으로 검색중입니다 (어차피 방안에서만 음악감사용으로만 사용) 아이폰으로 애플뮤직 사용중이며 주로 듣는 음악,뭐가 음감용이다 뭐가 모니터링이다 이런건 마케팅적인 분류에 가깝지 정해진게 아님 본인 귀에 더 잘 맞는걸 고르는걸 추천 두 제품 다 머리 사이즈 이슈가 생기는 편은 아님  개인적인 취향으론 둘중 하나 고르면 프록스 ||| 팝송이라해도 너무 많아서 플레이리스트 top10 알면 좋을텐데 ||| 플레이 리스트에 있는 곡들 일부 적어봤습니다. ||| 노래 오래 편히 듣고싶으면 젠하이저 좀 분석적으로 듣는다면 베이어쪽임 베티스 기준이라면 사실 둘 다 같은 성향은 아님 근데 청음샵은 못가나여? ||| 보컬/기타 등 중고역대 악기의 청량감과 근접함을 좋아한다면 990프록스가 좋음 660은 4.6k 딥 때문에 기타가 한두발 뒤로 빠져서 먹먹하게 들림  그리고 660s2는 중고가 정가인 물건이라... 꼭 정말로 둘 중 하나에서만 골라야 한다면 990 프록스지만... 신품깡을 할 자신이 있다면 xv도 함 봐바.... ||| ㄹㅇ 보컬 나와있는거 좋아하면 에디션 xv 같은 하파맨 평판형 괜찮을거같음 좀더 쓸생각 있으면 FT7 둘다 크기는 문제 없을거임,헤드폰,https://arca.live/b/breaking/152716335?target=all&keyword=HD660S&p=1,arca,HD660S
Content Hate,0.9190268077870672,1651588,,DCINSIDE,형님들 씨발!!! 베이어다이나믹 T1으로 입문했습니다 씨발,아니 예전에 기타칠때 그냥저냥 쓰던 hd660s 이 처음이자 마지막 헤드폰이었는데 이새끼 음질 존나 좆구리고 진짜 쓰레기같아서 그뒤로 헤드폰 거들떠도 안보다가 모종의 이유로.......... 더이상 스피커 생활을 즐기지 못할거같아서 충동적으로 베이어다이나믹 t1 2세대,"세예라자드 청음하러 갑시다 ||| 헉 형님 부산에는 없군요.. ||| 누가 t1 2세대를 30에 팔아 나도 줘 ||| 천만 다행으로 문자 2등으로 했는데 첫문자 보내신분이 파기해서 건졌습니다.. 30은 아니고 3...5..ㅋㅋㅋㅋ ||| t1이면 이미 플래그십인데 그 위로 간다고 해서 체급 차이 느끼기 힘듦 굳이 간다면 서스바라, LCD-5, 컴포저, 유토피아, 아트리움 이 정도인데 그냥 성향 차이지, 막 체급 상승 이런 건 없음 앰프 바꾸면 좀 느낄 수도 있겠지만, 글쎄 그냥 좋아하는 장르에 맞춰서 착색파이 하는 게 좋다고 봄 ||| 헉 감사합니다 신품 이 가격대부터는 착색되는 취향으로 갈리는군요 정말 감사합니다 ||| 근데 660s가 그정도였나.. - dc App ||| 후 저에겐 joat 그자체였습니다.. 텅빈 고음 / 재미없는 중음 / 무착색 / 하지만 모니터링으론 꽤나 괜찮았다 정도.. ||| 평판 하이엔드 가면 체감 가능함 ||| 검색해보니 종류가 엄청많던데 하나만 추천 가능할까용..? ||| mm500 이상 ||| 뭐 티원2세대 30만이라고? 뮤친",헤드폰,https://gall.dcinside.com/mgallery/board/view/?id=newheadphone&no=1651588,dc,HD660S
Comment Hate,0.9233304393424752,1645891,갤평은 흐드형제중 최악  - dc App,,,,,,,,
Comment Hate,0.9103384599671756,151065145,원래 더 모아서 그 조합으로 가려했는데 일단 찍먹 겸 같은 원리?를 사용하지만 모듈 갯수는 적은 조합으로 달린 거임,,,,,,,,
Comment Hate,0.8916631103478033,150076727,1V에 105dB정도의 감도가 나옴. 소리는 충분. 여기서 크게 듣는다는건 110을 넘길 정도로 크다는거라 일반적인 상황은 아님. 대부분의 상황에서는 문제 없음.  근데 가끔 그정도의 전압이 필요한 경우가 있음. dr이 아주 넓은 음원을 재생할때가 그런 경우인데 작은 소리와 큰 소리의 차이를 확실히 재현하려면 앰프가 노이즈가 적으면서 순간적으로 크게 튀어오르는 전압을 감당할 수 있어야됨 보통 2V를 넘김. 그래야 음원의 dr을 온전히 재현할 수 있음. 크게 듣는다는건 지속적으로 100~120dB로 듣는다는 말이 아님.  그런 의미에서 성능을 다 못뽑는다는 의미. 평범한 음악감상일때는 상관 없음. 적당히 꼬다리에 연결해 두다가 나중에 거치형으로 바꿔도 아무 문제 없다는 말.,,,,,,,,
