Reason,PHate,Site,PostID,Title,Content,Comments,GalleryID,PostURL,Source,Keyword,Comment
Content Hate,0.886153833269926,ARCALIVE,152132315,"스탠리 퀜처 H2.0 플로우스테이트 텀블러, 887ml[34]",밑에꺼 용량작은애들은 이거 사,"나도 와우회원인데 왜 쿠폰이옶지 ||| 다나간듯? ||| 이거 플라밍고 만 이네 ||| 플라밍고말고 몇몇 컬러 더 3.3인데 플라밍고가 제일 예쁜듯ㅇㅇ 역시 남자는 핑크ㅋ ||| 남자는 쌉핑꾸지 ||| 색고르다가 할인다빠졌어,,, ||| 쿠폭없는디? ||| 할인 다빠진듯 ||| 저런 색 이뻐서 살랫더만 ||| 그럼 일찍봤어야짓 ㅎㅎㅎㅎㅎㅎ ||| 일 끝나고 집가는 시간이라 GG ||| 저번에 3.9에 올라온거랑 색상말고 다른차이 있워? ||| 없을걸? 난 스탠리에 대해서 잘몰랏 ||| 이쁘다 남자의 색 핑크 ||| 개이쁘덩 ㅎㅎ ||| 벌써 끝이네.. ||| 훗훗훗훗 ||| 도로롱 색깔 ||| 이거 뚜껑만 팔아달라고 ||| 아 뚜껑만 파냐고오 ㅋㅋㅋㅋ ||| 플로우스테이트 아닌건 공홈에 뚜껑 따로 팜 소모품 취급이라 ||| 바쁠시간에 했네 ||| 저번에 39에 삿는데 더싸졋네 ㅠㅠ ||| 끄아악 어두운색 세일원해 ||| 도-황 ||| 작다 리터급은 써줘야죠...ㅋㅋㅋㅋ 내꺼는 유행전에 사서 지금도 쓰는중 겁나싸게샀었는데 ㅋㅋ ||| 1.1리터짜리좀 다시 핫딜해다오.. ||| 예전에 너무 싸게 사서 그런가 요즘 가격보면 넘 비싸게 느껴짐. 잃어버려서 다시 사야하는데 타이밍이 안맞네. ㅎㅎ ||| 저번에 3.9는 뚜껑이 밀폐형이고 이건 밀폐아님",hotdeal,https://arca.live/b/hotdeal/152132315?target=all&keyword=%EC%8A%A4%ED%83%A0%EB%A6%AC+%ED%85%80%EB%B8%94%EB%9F%AC&p=1,arca,스탠리 텀블러,
Comment Hate,0.8803954180397872,,151460958,,,,,,,,카카오도 취소남 수영복 구매했었는데 환불당하더라
Comment Hate,0.8641546612323093,,151460958,,,,,,,,1.18 안하나 할인
Comment Hate,0.8762902614191233,,151460958,,,,,,,,1.18 사고 싶어지네
Comment Hate,0.8585294602877457,,151460958,,,,,,,,뚜껑 빨대 일체형이라 입대고 먹는건 불가능한 구조 같음
Comment Hate,0.8643290384758149,,151460958,,,,,,,,887 1.18 두개 쓰는데 887만 쓰는듯  1.18은 너무 커서 차 컵홀더에도 안들어가
Comment Hate,0.8696277805925515,,141339629,,,,,,,,사용쿠폰보니까 웰컴백 할인이래 좋은 정보 땡큐!
Comment Hate,0.8736565957636879,,141339629,,,,,,,,"ㄴㄴ 로켓해외직구 보면 중국산 1테라인데 만원인 usb같은 사기제품도 계속 올라옴. 판매자 와우는 중국산 떼다가 택갈이만 해서 as불가능한 경우도 많고, 쿠팡 타임세일에 나오는 일반 사용자가 올리는 상품의 경우 그냥 대놓고 한놈만 걸려라 하는 경우도 봤음."
Comment Hate,0.8616188205619352,,138618565,,,,,,,,"이제 슬슬 한물가기 시작함, 한국은 뒤늦게 유행 탑승"
Comment Hate,0.9007438576005257,,138618565,,,,,,,,콜라먹을때 유용하게 사용중 30분이 지나도 시원함 고트임 ㅋㅋ
