PostID,Title,Content,GalleryID,URL
1742569,치사 6돌 할거면 공효 130 안맞춰도 됌?,지금 크피 273.8 그확 83.5인데 공효가 100이라 몬가 몬가인데 다시 에코작 해야함? 6돌 할거면 상관없나?,wutheringwaves,https://gall.dcinside.com/mgallery/board/view/?id=wutheringwaves&no=1742569&s_type=search_subject_memo&s_keyword=치사&page=1
1742568,카르티시아 복각하면 3돌 뚫을만함?,아님 그냥 3버전 신규딜러를 돌파뚫는게 나으려나 지금 치사 파수인만 있는 뉴비임,wutheringwaves,https://gall.dcinside.com/mgallery/board/view/?id=wutheringwaves&no=1742568&s_type=search_subject_memo&s_keyword=치사&page=1
1742567,치사 스토리 얼마나 걸려?,2~3시간이면 오늘 밀라고,wutheringwaves,https://gall.dcinside.com/mgallery/board/view/?id=wutheringwaves&no=1742567&s_type=search_subject_memo&s_keyword=치사&page=1
1742565,치사 3돌 공진 갈아버리는거 뽕차네,갈갈갈갈,wutheringwaves,https://gall.dcinside.com/mgallery/board/view/?id=wutheringwaves&no=1742565&s_type=search_subject_memo&s_keyword=치사&page=1
1742561,파티좀 짜려고 하는데 훈수 부탁드립니다,치사 3돌카를 갈브 1돌 입니다여기서 고민1.파수인이 없어서 고점 볼 파티를 짜고싶습니다 3파티정도2. 플로 칸타 샤콘 아우 유노 다 챙겨가야 할까요?아우랑 유노는 스토리 밀면서 손에 맞는거 같아서 둘은 챙겨 갈 생각 하고있습니다10트럭 생각 하고 있고 돌파효율 생각해서 3파티 정도 꾸리고 싶은데 선생님들 훈수 부탁드립니다!,wutheringwaves,https://gall.dcinside.com/mgallery/board/view/?id=wutheringwaves&no=1742561&s_type=search_subject_memo&s_keyword=치사&page=1
1742558,치사 서폿치고 딜이 꽤 쌔다?,1돌인데 딜러 수준이네,wutheringwaves,https://gall.dcinside.com/mgallery/board/view/?id=wutheringwaves&no=1742558&s_type=search_subject_memo&s_keyword=치사&page=1
1742557,치사 그냥 딜러처럼 세팅해주면 댐? 크속속공공?,치유량 필요없지? 공효나,wutheringwaves,https://gall.dcinside.com/mgallery/board/view/?id=wutheringwaves&no=1742557&s_type=search_subject_memo&s_keyword=치사&page=1
1742556,카를팟에서 설지vs치사,내가 카르티시아나 플로로가 없고금희 상리요 카를로타 갈브팟밖에 없어서 3번자리가 매우 부족한데카를은 명전에 절지 있는데3번자리에 6돌 설지넣는거랑 명함 노전무 치사 넣는거랑 뭐가 더 셀까??,wutheringwaves,https://gall.dcinside.com/mgallery/board/view/?id=wutheringwaves&no=1742556&s_type=search_subject_memo&s_keyword=치사&page=1
1742550,치사 꼴려서 일단 뽑았난데 성능은 미묘함?,무기는 그냥 상시대검임,wutheringwaves,https://gall.dcinside.com/mgallery/board/view/?id=wutheringwaves&no=1742550&s_type=search_subject_memo&s_keyword=치사&page=1
1742545,치사 냄새 맡고싶다,진짜 꼭 껴안고 코 박으면살짝 달달하고 좋은냄새 나겠지..,wutheringwaves,https://gall.dcinside.com/mgallery/board/view/?id=wutheringwaves&no=1742545&s_type=search_subject_memo&s_keyword=치사&page=1
1742539,치사 2돌>3돌 해보신분 효율어떰?,샤콘은 있는데 카르띳띠를 안뽑앗음.. 그래서 딜러로 좀 쓰려면 3돌하라던데 체감되나아니면 걍 미래시믿고 서폿자리로 존버할까,wutheringwaves,https://gall.dcinside.com/mgallery/board/view/?id=wutheringwaves&no=1742539&s_type=search_subject_memo&s_keyword=치사&page=1
1742532,뉴비는 돌파재료 얻을라면 무조건 스토리 밀어야해?,스토리 밀기전엔 못먹음?치사 50에서 돌파 막혔어,wutheringwaves,https://gall.dcinside.com/mgallery/board/view/?id=wutheringwaves&no=1742532&s_type=search_subject_memo&s_keyword=치사&page=1
1742531,치사 대기모션 보고 이 캐릭터 생각났음,실루엣만 보면 닮지 않음??,wutheringwaves,https://gall.dcinside.com/mgallery/board/view/?id=wutheringwaves&no=1742531&s_type=search_subject_memo&s_keyword=치사&page=1
1742525,사기캐는 이름에 '사'가 들어가네,치사 사콘 카르티시사 사수인,wutheringwaves,https://gall.dcinside.com/mgallery/board/view/?id=wutheringwaves&no=1742525&s_type=search_subject_memo&s_keyword=치사&page=1
1742523,명조 뉴비 과금 질문,치사 뽑고 시작했는데1돌정도는 하고싶어서 1트럭 정도만 과금할라는데 ㄱㅊ?아직 패스하고 월정액만 질럿음,wutheringwaves,https://gall.dcinside.com/mgallery/board/view/?id=wutheringwaves&no=1742523&s_type=search_subject_memo&s_keyword=치사&page=1
